Stage,Score Train RMSE Percent,Urban Expansion Adjustment Time,RMSE Error Percent,MAE Error Percent,Max Absolute Error Percent,Mean Error Percent,Final Year Error Percent,Reference Initial Land Demand per Capita
stage_1_adjustment_time_only,11.511040289380569,3.0,11.511040289380569,10.585010554748386,15.168409466153,-10.585010554748386,-8.911353243502898,
stage_1_adjustment_time_only,11.51104029088032,3.00000001,11.51104029088032,10.585010556304061,15.168409466153,-10.585010556304061,-8.911353254712118,
stage_1_adjustment_time_only,11.511708322988842,3.0044577769564764,11.511708322988842,10.58570342814403,15.168409466153,-10.58570342814403,-8.916346820855123,
stage_1_adjustment_time_only,11.511708322988842,3.0044577769564764,11.511708322988842,10.58570342814403,15.168409466153,-10.58570342814403,-8.916346820855123,
stage_1_adjustment_time_only,11.511708324486248,3.0044577869564764,11.511708324486248,10.585703429696956,15.168409466153,-10.585703429696956,-8.916346832049753,
stage_2_adjustment_time_plus_land_demand,11.520465690710667,3.0,11.520465690710667,10.594132472870095,15.168409466153,-10.594132472870095,-8.95683659451828,0.00044
stage_2_adjustment_time_plus_land_demand,11.520465692198275,3.00000001,11.520465692198275,10.59413247441101,15.168409466153,-10.59413247441101,-8.956836605688546,0.00044
stage_2_adjustment_time_plus_land_demand,11.520467316997147,3.0,11.520467316997147,10.594134044995412,15.168409466153,-10.594134044995412,-8.956844433352561,0.00043999
stage_1_adjustment_time_only,11.532649959341397,3.1478327666954,11.532649959341397,10.607352492431804,15.168409466153,-10.607352492431804,-9.073522972368046,
stage_1_adjustment_time_only,11.53695828599673,3.1782326999392865,11.53695828599673,10.611789158233627,15.168409466153,-10.611789158233627,-9.106006767525653,
stage_2_adjustment_time_plus_land_demand,11.541274890546367,3.09000110323627,11.541274890546367,10.615104297810491,15.168409466153,-10.615104297810491,-9.092931199445177,0.0003925653988226449
stage_2_adjustment_time_plus_land_demand,11.541276499987069,3.09000110323627,11.541276499987069,10.615105846297299,15.168409466153,-10.615105846297299,-9.09293897226835,0.0003925553988226449
stage_2_adjustment_time_plus_land_demand,11.541276499987069,3.09000110323627,11.541276499987069,10.615105846297299,15.168409466153,-10.615105846297299,-9.09293897226835,0.0003925553988226449
stage_2_adjustment_time_plus_land_demand,11.541276501418674,3.09000111323627,11.541276501418674,10.615105847772584,15.168409466153,-10.615105847772584,-9.092938983113875,0.0003925553988226449
stage_1_adjustment_time_only,11.5435690910874,3.2255043397177303,11.5435690910874,10.618585424545346,15.168409466153,-10.618585424545346,-9.155944770955312,
stage_2_adjustment_time_plus_land_demand,11.54935591620477,3.1440051427143256,11.54935591620477,10.6233929680462,15.168409466153,-10.6233929680462,-9.153077664636381,0.00038992436576775326
stage_2_adjustment_time_plus_land_demand,11.55351093611121,3.1440051427143256,11.55351093611121,10.627381496802021,15.168409466153,-10.627381496802021,-9.173176570029758,0.0003639374951347534
stage_1_adjustment_time_only,11.56247797630599,3.365067212497177,11.56247797630599,10.637947864309723,15.168409466153,-10.637947864309723,-9.299386178303209,
stage_2_adjustment_time_plus_land_demand,11.564287869935418,3.2464218372103844,11.564287869935418,10.638654520328872,15.168409466153,-10.638654520328872,-9.264612618537617,0.0003848493564427131
stage_2_adjustment_time_plus_land_demand,11.568314144755005,3.318359101020258,11.568314144755005,10.643138167598682,15.168409466153,-10.643138167598682,-9.310969122475472,0.00042068209649474917
stage_2_adjustment_time_plus_land_demand,11.573278121029144,3.318359101020258,11.573278121029144,10.647883098416315,15.168409466153,-10.647883098416315,-9.335166615106754,0.000388912625992234
