Year,Urban Land,Historical Urban Land,Urban Land Error Percent,Urban Land Absolute Error Percent,Stage
2000,154139.0,154139.0,0.0,0.0,stage_1_adjustment_time_only
2001,154139.0,156386.83333333334,-1.4373545940035508,1.4373545940035508,stage_1_adjustment_time_only
2002,154139.0,158634.66666666666,-2.833974919311452,2.833974919311452,stage_1_adjustment_time_only
2003,154139.0,160882.5,-4.191568380650475,4.191568380650475,stage_1_adjustment_time_only
2004,154139.0,163130.33333333334,-5.511748274896765,5.511748274896765,stage_1_adjustment_time_only
2005,154139.0,165378.16666666666,-6.796040186683243,6.796040186683243,stage_1_adjustment_time_only
2006,154139.0,167626.0,-8.045887869423597,8.045887869423597,stage_1_adjustment_time_only
2007,154139.0,169648.16666666666,-9.141959486741673,9.141959486741673,stage_1_adjustment_time_only
2008,154139.0,171670.33333333334,-10.212209059612325,10.212209059612325,stage_1_adjustment_time_only
2009,154139.0,173692.5,-11.257538465967155,11.257538465967155,stage_1_adjustment_time_only
2010,154139.0,175714.66666666666,-12.27880806762478,12.27880806762478,stage_1_adjustment_time_only
2011,154139.0,177736.83333333334,-13.276839071998776,13.276839071998776,stage_1_adjustment_time_only
2012,154139.0,179759.0,-14.252415734399944,14.252415734399944,stage_1_adjustment_time_only
2013,154139.0,180082.5,-14.406452598114752,14.406452598114752,stage_1_adjustment_time_only
2014,154139.0,180406.0,-14.559937030919148,14.559937030919148,stage_1_adjustment_time_only
2015,154139.0,180729.5,-14.712871999313892,14.712871999313892,stage_1_adjustment_time_only
2016,154139.0,181053.0,-14.865260448597924,14.865260448597924,stage_1_adjustment_time_only
2017,154139.0,181376.5,-15.017105303057452,15.017105303057452,stage_1_adjustment_time_only
2018,154139.0,181700.0,-15.168409466153,15.168409466153,stage_1_adjustment_time_only
2019,154270.46547699202,181700.0,-15.096056424330207,15.096056424330207,stage_1_adjustment_time_only
2020,155153.40614323018,181700.0,-14.610123201304248,14.610123201304248,stage_1_adjustment_time_only
2021,156556.1321178164,181700.0,-13.838122114575457,13.838122114575457,stage_1_adjustment_time_only
2022,158396.99922270514,181700.0,-12.824986668846924,12.824986668846924,stage_1_adjustment_time_only
2023,160552.3002385659,181700.0,-11.63880008884651,11.63880008884651,stage_1_adjustment_time_only
2024,162940.47121643476,181700.0,-10.324451724581861,10.324451724581861,stage_1_adjustment_time_only
2025,165508.07115655523,181700.0,-8.911353243502898,8.911353243502898,stage_1_adjustment_time_only
2000,154139.0,154139.0,0.0,0.0,stage_2_adjustment_time_plus_land_demand
2001,154139.0,156386.83333333334,-1.4373545940035508,1.4373545940035508,stage_2_adjustment_time_plus_land_demand
2002,154139.0,158634.66666666666,-2.833974919311452,2.833974919311452,stage_2_adjustment_time_plus_land_demand
2003,154139.0,160882.5,-4.191568380650475,4.191568380650475,stage_2_adjustment_time_plus_land_demand
2004,154139.0,163130.33333333334,-5.511748274896765,5.511748274896765,stage_2_adjustment_time_plus_land_demand
2005,154139.0,165378.16666666666,-6.796040186683243,6.796040186683243,stage_2_adjustment_time_plus_land_demand
2006,154139.0,167626.0,-8.045887869423597,8.045887869423597,stage_2_adjustment_time_plus_land_demand
2007,154139.0,169648.16666666666,-9.141959486741673,9.141959486741673,stage_2_adjustment_time_plus_land_demand
2008,154139.0,171670.33333333334,-10.212209059612325,10.212209059612325,stage_2_adjustment_time_plus_land_demand
2009,154139.0,173692.5,-11.257538465967155,11.257538465967155,stage_2_adjustment_time_plus_land_demand
2010,154139.0,175714.66666666666,-12.27880806762478,12.27880806762478,stage_2_adjustment_time_plus_land_demand
2011,154139.0,177736.83333333334,-13.276839071998776,13.276839071998776,stage_2_adjustment_time_plus_land_demand
2012,154139.0,179759.0,-14.252415734399944,14.252415734399944,stage_2_adjustment_time_plus_land_demand
2013,154139.0,180082.5,-14.406452598114752,14.406452598114752,stage_2_adjustment_time_plus_land_demand
2014,154139.0,180406.0,-14.559937030919148,14.559937030919148,stage_2_adjustment_time_plus_land_demand
2015,154139.0,180729.5,-14.712871999313892,14.712871999313892,stage_2_adjustment_time_plus_land_demand
2016,154139.0,181053.0,-14.865260448597924,14.865260448597924,stage_2_adjustment_time_plus_land_demand
2017,154139.0,181376.5,-15.017105303057452,15.017105303057452,stage_2_adjustment_time_plus_land_demand
2018,154139.0,181700.0,-15.168409466153,15.168409466153,stage_2_adjustment_time_plus_land_demand
2019,154243.67168455423,181700.0,-15.110802595182044,15.110802595182044,stage_2_adjustment_time_plus_land_demand
2020,155108.3361217448,181700.0,-14.634927836133848,14.634927836133848,stage_2_adjustment_time_plus_land_demand
2021,156498.39485921862,181700.0,-13.869898261299603,13.869898261299603,stage_2_adjustment_time_plus_land_demand
2022,158330.2369304291,181700.0,-12.861729812642217,12.861729812642217,stage_2_adjustment_time_plus_land_demand
2023,160478.8893319662,181700.0,-11.679202348945402,11.679202348945402,stage_2_adjustment_time_plus_land_demand
2024,162861.9510807206,181700.0,-10.367665888431144,10.367665888431144,stage_2_adjustment_time_plus_land_demand
2025,165425.42790776028,181700.0,-8.95683659451828,8.95683659451828,stage_2_adjustment_time_plus_land_demand
