Year,Land Conversion Rate,Urban Land Gap,AMM Consistent Economic Land Conversion Demand,Max Feasible Conversion,LCR / AMM demand,LCR / Max Feasible Conversion,Near max feasible cap,Demand exceeds feasible cap,Conversion per Gap,Largest acceleration year flag
2000,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2001,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2002,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2003,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2004,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2005,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2006,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2007,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2008,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2009,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2010,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2011,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2012,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2013,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2014,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2015,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2016,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2017,0.0,0.0,0.0,1826720.0,,0.0,False,False,,False
2018,39.43964309760486,394.3964309760486,39.43964309760486,1826720.0,1.0,2.159041511430589e-05,False,False,0.1,False
2019,274.08478326088806,2740.8478326088807,274.08478326088806,1826680.5603569024,1.0,0.00015004527294434913,False,False,0.09999999999999999,False
2020,490.8445082391583,4908.445082391583,490.8445082391583,1826406.4755736415,1.0,0.00026874877788910206,False,False,0.09999999999999999,True
2021,712.9905819510517,7129.905819510517,712.9905819510517,1825915.6310654024,1.0,0.0003904838590680278,False,False,0.09999999999999999,False
2022,918.9295196431165,9189.295196431165,918.9295196431165,1825202.6404834513,1.0,0.0005034671215464134,False,False,0.09999999999999999,False
2023,1110.324150423755,11103.24150423755,1110.324150423755,1824283.7109638082,1.0,0.0006086356764305849,False,False,0.1,False
2024,1288.746727824598,12887.467278245982,1288.746727824598,1823173.3868133845,1.0,0.0007068700855035633,False,False,0.09999999999999999,False
2025,1455.6697291468008,14556.697291468008,1455.6697291468008,1821884.6400855598,1.0,0.0007989911639402368,False,False,0.1,False
