Year,Urban Land,Historical Urban Land,Urban Land Error Percent,Urban Land Absolute Error Percent,Land Conversion Rate,Urban Land Gap,Desired Urban Land Total,Desired Urban Land,AMM Consistent Economic Land Conversion Demand,Land Conversion Pressure Factors,Max Feasible Conversion,Expected Population,Number of Households,Mean Household Size,Income per Capita,Mean Household Income,Transport Cost per km,Agricultural Rent,Urban Fringe Radius,Land Demand per Household q,Reference Initial Land Demand per Capita,Housing Preference Share Alpha,Agricultural Scarcity Index,Populational Need of Kcal in Km2,Yield,Innovation Index,Urban Productivity Effect,Urban Land annual change,Urban Land annual acceleration,Historical Urban Land annual change,Urban Land absolute gap to historical,Conversion per Gap,LCR / AMM demand,LCR / Max Feasible Conversion,Near max feasible cap,Demand exceeds feasible cap,Largest acceleration year flag
2000,154139.0,154139.0,0.0,0.0,0.0,0.0,154139.0,7676.357550258984,0.0,0.0,1826720.0,425000000.0,170000000.0,2.5,16976.0,42440.0,0.35,15000.0,49.43603481074601,0.001245,0.000498,0.15,0.16040437992078088,293013.8888888889,1800000000.0,1.0,0.0,,,,0.0,,,0.0,False,False,False
2001,154139.0,156386.83333333334,-1.4373545940035508,1.4373545940035508,0.0,0.0,144510.1631248592,7055.671211670525,0.0,0.0,1826720.0,427000000.0,173401015.2284264,2.4625,17145.76,42221.433999999994,0.374,15000.0,47.39529155713912,0.0010402755715426396,0.000498,0.15,0.16115922406158456,294392.77777777775,1800000000.0,1.0,0.0,0.0,,2247.833333333343,-2247.833333333343,,,0.0,False,False,False
2002,154139.0,158634.66666666666,-2.833974919311452,2.833974919311452,0.0,0.0,138652.16326649423,6648.311451123743,0.0,0.0,1826720.0,429000000.0,176565916.39871383,2.4296875,17317.2176,42075.4271375,0.3932,15014.117647058823,46.00676642482529,0.0009484759891954426,0.000498,0.15,0.16191406820238827,295771.6666666667,1800000000.0,1.0,0.0,0.0,0.0,2247.833333333314,-4495.666666666657,,,0.0,False,False,False
2003,154139.0,160882.5,-4.191568380650475,4.191568380650475,0.0,0.0,135200.7435406086,6376.484523451755,0.0,0.0,1826720.0,431000000.0,179510290.40917596,2.4009765625,17490.389776,41994.01592116562,0.40856,15039.529411764706,45.05642054821443,0.0008987993437863867,0.000498,0.15,0.16266891234319192,297150.55555555556,1800000000.0,1.0,0.0,0.0,0.0,2247.833333333343,-6743.5,,,0.0,False,False,False
2004,154139.0,163130.33333333334,-5.511748274896765,5.511748274896765,0.0,0.0,133368.22722226958,6195.493426140213,0.0,0.0,1826720.0,433000000.0,182250218.36304784,2.3758544921875,17665.29367376,41970.16733061412,0.420848,15073.976470588235,44.412373352054104,0.000868327413251008,0.000498,0.15,0.1634237564839956,298529.44444444444,1800000000.0,1.0,0.0,0.0,0.0,2247.833333333343,-8991.333333333343,,,0.0,False,False,False
2005,154139.0,165378.16666666666,-6.796040186683243,6.796040186683243,0.0,0.0,132671.88221613952,6078.048782943185,0.0,0.0,1826720.0,435000000.0,184801838.9326308,2.3538726806640624,17841.946610497598,41997.670696317065,0.4306784,15115.651764705883,43.98940852141628,0.0008478376966299054,0.000498,0.15,0.16417860062479928,299908.3333333333,1800000000.0,1.0,0.0,0.0,0.0,2247.833333333314,-11239.166666666657,,,0.0,False,False,False
2006,154139.0,167626.0,-8.045887869423597,8.045887869423597,0.0,0.0,132557.37303234678,6006.610457794712,0.0,0.0,1826720.0,436200000.0,186838340.1292296,2.3346385955810547,18020.366076602575,42071.042148935914,0.43854272,15163.109647058824,43.730129731719074,0.0008331398192796158,0.000498,0.15,0.16463150710928148,300735.6666666667,1800000000.0,1.0,0.0,0.0,0.0,2247.833333333343,-13487.0,,,0.0,False,False,False
2007,154139.0,169648.16666666666,-9.141959486741673,9.141959486741673,0.0,0.0,133057.99270070373,5969.40946915207,0.0,0.0,1826720.0,437400000.0,188712721.01801077,2.3178087711334228,18200.5697373686,42185.44017689848,0.44483417599999997,15209.54654117647,43.59450159839252,0.0008229263779466078,0.000498,0.15,0.1650844135937637,301563.0,1800000000.0,1.0,0.0,0.0,0.0,2022.166666666657,-15509.166666666657,,,0.0,False,False,False
2008,154139.0,171670.33333333334,-10.212209059612325,10.212209059612325,0.0,0.0,134026.07918376365,5958.292140405093,0.0,0.0,1826720.0,438600000.0,190440406.16092178,2.303082674741745,18382.575434742288,42336.59100088816,0.44986734079999996,15255.166644705883,43.55388784323134,0.0008156772304987563,0.000498,0.15,0.16553732007824587,302390.3333333333,1800000000.0,1.0,0.0,0.0,0.0,2022.166666666686,-17531.333333333343,,,0.0,False,False,False
2009,154139.0,173692.5,-11.257538465967155,11.257538465967155,0.0,0.0,135356.28495929143,5967.43485239858,0.0,0.0,1826720.0,439800000.0,192035853.08651724,2.290197340399027,18566.401189089713,42520.72262403459,0.45389387264,15300.133315764706,43.587290704783555,0.0008105618814530424,0.000498,0.15,0.1659902265627281,303217.6666666667,1800000000.0,1.0,0.0,0.0,0.0,2022.166666666657,-19553.5,,,0.0,False,False,False
