driver,correlation_with_urban_land_annual_change,driver_change_2000_2025,driver_start,driver_end
Urban Land Gap,0.9904616256280319,14556.697291468008,0.0,14556.697291468008
Land Conversion Rate,0.9904616256280317,1455.6697291468008,0.0,1455.6697291468008
Land Conversion Pressure Factors,0.9904616256280317,1455.6697291468008,0.0,1455.6697291468008
AMM Consistent Economic Land Conversion Demand,0.9904616256280317,1455.6697291468008,0.0,1455.6697291468008
Urban Productivity Effect,0.9719556395774899,0.00015685063204121441,0.0,0.00015685063204121441
Innovation Index,0.9719556395774899,0.03137012640824288,1.0,1.0313701264082429
Yield,0.9719556395774895,56466227.534837246,1800000000.0,1856466227.5348372
Mean Household Income,0.8347844285977392,5700.469682236449,42440.0,48140.46968223645
Desired Urban Land Total,0.8314845911345838,19392.057205908146,154139.0,173531.05720590815
Desired Urban Land,0.7609959885014999,-490.96969438142696,7676.357550258984,7185.387855877557
Urban Fringe Radius,0.756072341181833,-1.6070525637676027,49.43603481074601,47.828982246978406
Income per Capita,0.7381888838090561,4800.619598286885,16976.0,21776.619598286885
Expected Population,0.5776705882092911,27000000.0,425000000.0,452000000.0
Agricultural Rent,0.5647476471431983,696.9202119971596,15000.0,15696.92021199716
Number of Households,0.5252212118984091,34464811.48599374,170000000.0,204464811.48599374
Transport Cost per km,0.3642418003487548,0.11954665281764454,0.35,0.4695466528176445
Agricultural Scarcity Index,0.16485256420041555,0.005440584256566405,0.16040437992078088,0.1658449641773473
Land Demand per Household q,0.1102163551280878,-0.00037324001679269803,0.001245,0.000871759983207302
Mean Household Size,-0.473825030470283,-0.2893506627620228,2.5,2.210649337237977
Max Feasible Conversion,-0.9719556395774867,-4835.359914440196,1826720.0,1821884.6400855598
