Year,Urban Land,Aggricultural Land,Land Conversion Rate,Urban Land Gap,Expected Population,Agricultural Scarcity Index,Populational Need of Kcal in Km2,Yield,Mean Household Size,Income per Capita,Transport Cost per km,Agricultural Rent,Scenario,Urban Expansion Adjustment Time,Urban Land Increase since 2025,Urban Land Growth Percent since 2025
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,311491.0,1800000000.0,2.3,41650.0,0.47,30000.0,fast_calibrated_3y,3,0.0,0.0
2030,191922.74445255203,1590177.2555474478,3698.470008324201,11095.410024972603,453200000.0,0.18602534650664382,295813.2749701979,1901270996.2278125,2.251290893554687,43788.95937920093,0.47,29723.502143897935,fast_calibrated_3y,3,10222.744452552026,5.626166457100723
2035,211479.69723912212,1570620.3027608776,4174.610699250789,12523.832097752369,452000000.0,0.17047188029869548,267746.5962469532,2095010759.6610882,2.2263075576163827,46134.65227191835,0.47,28220.993077738796,fast_calibrated_3y,3,29779.69723912212,16.389486647838257
2040,233032.41625460554,1549067.5837453944,4568.5307023826945,13705.592107148084,450000000.0,0.15616367235313122,241908.08260087244,2308521459.8695097,2.2134933813738566,48741.18507130406,0.47,26175.686249592818,fast_calibrated_3y,3,51332.416254605545,28.251192214972786
2045,256910.64132977262,1525189.3586702272,5146.767929568935,15440.303788706806,447500000.0,0.14306763023109903,218205.22719863913,2545069644.4336305,2.206920875877393,51652.218252785555,0.47,24088.175480044967,fast_calibrated_3y,3,75210.64132977262,41.39275802409059
2050,284234.3731317717,1497865.6268682284,5993.509827161247,17980.52948148374,445000000.0,0.1309377165788006,196127.10492399958,2815750531.8502417,2.203549779079326,54924.579681061536,0.47,22099.197785614917,fast_calibrated_3y,3,102534.37313177169,56.43058510279124
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,311491.0,1800000000.0,2.3,41650.0,0.47,30000.0,medium_7y,7,0.0,0.0
2030,186986.20778953086,1595113.7922104693,2282.359000155669,15976.513001089683,453200000.0,0.19034560815818605,303622.9048598122,1852367495.9887474,2.251290893554687,43781.36626329042,0.47,29882.275766712628,medium_7y,7,5286.207789530861,2.909305332708234
2035,200615.8807766855,1581484.1192233146,3276.8289799842046,22937.80285988943,452000000.0,0.17846887845991316,282245.6970599485,1987389022.5538461,2.2263075576163827,46079.38767119059,0.47,28940.940509071515,medium_7y,7,18915.880776685488,10.410501252991455
2040,218275.28432949894,1563824.715670501,3890.630046459281,27234.410325214965,450000000.0,0.16514829035468484,258262.97820738438,2162330829.901475,2.2134933813738566,48599.89338268469,0.47,27304.412296348797,medium_7y,7,36575.28432949894,20.129490550081975
2045,238814.37902111813,1543285.6209788816,4447.346474204956,31131.425319434697,447500000.0,0.15210393913536452,234739.82216185506,2365800122.388622,2.206920875877393,51389.87156902111,0.47,25395.546906817905,medium_7y,7,57114.37902111813,31.433340132701225
2050,262325.90921296424,1519774.0907870356,5114.0457162645425,35798.3200138518,445000000.0,0.13982795031537965,212506.89605717087,2598715666.3915,2.203549779079326,54500.54765461268,0.47,23457.03613288697,medium_7y,7,80625.90921296424,44.37309257730557
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,311491.0,1800000000.0,2.3,41650.0,0.47,30000.0,medium_fast_5y,5,0.0,0.0
2030,188692.34224075088,1593407.657759249,2857.640677676513,14288.203388382564,453200000.0,0.18882649397217616,300877.5814830962,1869269213.171995,2.251290893554687,43783.81282492362,0.47,29830.346632232435,medium_fast_5y,5,6992.342240750877,3.848289620666412
2035,205011.8935977057,1577088.1064022942,3741.3081800317277,18706.540900158638,452000000.0,0.17512882141712457,276193.58134519856,2030937856.2238317,2.2263075576163827,46099.69444094656,0.47,28663.79850180958,medium_fast_5y,5,23311.893597705697,12.829880901323998
