Year,Urban Land,Aggricultural Land,Land Conversion Rate,Urban Land Gap,Expected Population,Agricultural Scarcity Index,Mean Household Size,Income per Capita,Transport Cost per km,Agricultural Rent,Max Feasible Conversion,AMM Consistent Economic Land Conversion Demand,Land Conversion Pressure Factors,Scenario,Empirical Land Take Cap km2 per year,Urban Land Increase since 2025,Urban Land Growth Percent since 2025
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,2.3,41650.0,0.47,30000.0,410.0,0.0,0.0,eea_low_410_km2_per_year,410.0,0.0,0.0
2030,183340.0,1598760.0,410.0,19594.87106401837,453200000.0,0.19368839658475645,2.251290893554687,43777.50258308165,0.47,29967.789795990833,410.0,6531.623688006123,6531.623688006123,eea_low_410_km2_per_year,410.0,1640.0,0.9025866813428651
2035,185390.0,1596710.0,410.0,37735.009892858885,452000000.0,0.19128472408116873,2.2263075576163827,46026.01623764702,0.47,29769.654084094902,410.0,12578.336630952961,12578.336630952961,eea_low_410_km2_per_year,410.0,3690.0,2.030820033021463
2040,187440.0,1594660.0,410.0,56384.03052180944,450000000.0,0.18859767791799842,2.2134933813738566,48403.53302268027,0.47,29441.28362159955,410.0,18794.676840603148,18794.676840603148,eea_low_410_km2_per_year,410.0,5740.0,3.1590533847000613
2045,189490.0,1592610.0,410.0,76186.48028628784,447500000.0,0.1857597035169159,2.206920875877393,50918.07819711825,0.47,29047.585790488552,410.0,25395.493428762613,25395.493428762613,eea_low_410_km2_per_year,410.0,7790.0,4.287286736378637
2050,191540.0,1590560.0,410.0,97823.00984666537,445000000.0,0.1829804431894702,2.203549779079326,53578.210415010086,0.47,28627.465908590253,410.0,32607.66994888846,32607.66994888846,eea_low_410_km2_per_year,410.0,9840.0,5.415520088057235
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,2.3,41650.0,0.47,30000.0,540.0,0.0,0.0,eea_recent_540_km2_per_year,540.0,0.0,0.0
2030,183860.0,1598240.0,540.0,19081.695774873893,453200000.0,0.1932034393500811,2.251290893554687,43778.43289972096,0.47,29948.063878527602,540.0,6360.565258291298,6360.565258291298,eea_recent_540_km2_per_year,540.0,2160.0,1.1887727022564576
2035,186560.0,1595540.0,540.0,36612.71216014563,452000000.0,0.1902244815229294,2.2263075576163827,46031.88489537457,0.47,29683.57598792154,540.0,12204.237386715211,12204.237386715211,eea_recent_540_km2_per_year,540.0,4860.0,2.674738580077052
2040,189260.0,1592840.0,540.0,54698.669864565745,450000000.0,0.18699746898916567,2.2134933813738566,48419.13483010626,0.47,29275.63128562355,540.0,18232.889954855247,18232.889954855247,eea_recent_540_km2_per_year,540.0,7560.0,4.160704457897624
2045,191960.0,1590140.0,540.0,73995.66974261997,447500000.0,0.18365431628691478,2.206920875877393,50948.921960445,0.47,28801.667017705084,540.0,24665.22324753999,24665.22324753999,eea_recent_540_km2_per_year,540.0,10260.0,5.646670335718218
2050,194660.0,1587440.0,540.0,95198.48137926112,445000000.0,0.1804015132857914,2.203549779079326,53630.60163946118,0.47,28304.509547242164,540.0,31732.827126420376,31732.827126420376,eea_recent_540_km2_per_year,540.0,12960.0,7.13263621353879
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,2.3,41650.0,0.47,30000.0,600.0,0.0,0.0,empirical_high_600_km2_per_year,600.0,0.0,0.0
2030,184100.0,1598000.0,600.0,18844.84587821123,453200000.0,0.19298055070800002,2.251290893554687,43778.862280706315,0.47,29938.98305460053,600.0,6281.615292737076,6281.615292737076,empirical_high_600_km2_per_year,600.0,2400.0,1.320858558062743
2035,187100.0,1595000.0,600.0,36094.732922537514,452000000.0,0.1897396799227648,2.2263075576163827,46034.59371928375,0.47,29644.111523664935,600.0,12031.577640845839,12031.577640845839,empirical_high_600_km2_per_year,600.0,5400.0,2.971931755641166
2040,190100.0,1592000.0,600.0,53920.83937153124,450000000.0,0.18626940925035493,2.2134933813738566,48426.33719257564,0.47,29200.014561130436,600.0,17973.61312384375,17973.61312384375,empirical_high_600_km2_per_year,600.0,8400.0,4.623004953219589
2045,193100.0,1589000.0,600.0,72984.63367212832,447500000.0,0.18270106223264984,2.206920875877393,50963.163389838366,0.47,28689.914127798053,600.0,24328.21122404277,24328.21122404277,empirical_high_600_km2_per_year,600.0,11400.0,6.274078150798013
2050,196100.0,1586000.0,600.0,93987.46512319444,445000000.0,0.17923938208116993,2.203549779079326,53654.79849933593,0.47,28158.413589470114,600.0,31329.155041064816,31329.155041064816,empirical_high_600_km2_per_year,600.0,14400.0,7.925151348376436
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,2.3,41650.0,0.47,30000.0,500.0,0.0,0.0,empirical_mid_500_km2_per_year,500.0,0.0,0.0
2030,183700.0,1598400.0,500.0,19239.59578902356,453200000.0,0.1933523601778758,2.251290893554687,43778.14664716052,0.47,29954.12597700445,500.0,6413.198596341186,6413.198596341186,empirical_mid_500_km2_per_year,500.0,2000.0,1.1007154650522821
2035,186200.0,1595900.0,500.0,36958.03317090121,452000000.0,0.19054926904566985,2.2263075576163827,46030.07908738412,0.47,29709.977916144173,500.0,12319.344390300403,12319.344390300403,empirical_mid_500_km2_per_year,500.0,4500.0,2.476609796367635
2040,188700.0,1593400.0,500.0,55217.233443680074,450000000.0,0.18748650118676483,2.2134933813738566,48414.33379139485,0.47,29326.334957654508,500.0,18405.74448122669,18405.74448122669,empirical_mid_500_km2_per_year,500.0,7000.0,3.8525041276829874
2045,191200.0,1590900.0,500.0,74669.73142129485,447500000.0,0.18429623945496734,2.206920875877393,50939.42972576865,0.47,28876.777721192604,500.0,24889.91047376495,24889.91047376495,empirical_mid_500_km2_per_year,500.0,9500.0,5.22839845899834
2050,193700.0,1588400.0,500.0,96005.9324367455,445000000.0,0.18118603266240335,2.203549779079326,53614.47611814275,0.47,28402.93579522087,500.0,32001.977478915167,32001.977478915167,empirical_mid_500_km2_per_year,500.0,12000.0,6.604292790313715
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,2.3,41650.0,0.47,30000.0,1600400.0,0.0,0.0,uncapped_internal_model,,0.0,0.0
2030,191922.74445255203,1590177.2555474478,3698.470008324201,11095.410024972603,453200000.0,0.18602534650664382,2.251290893554687,43788.95937920093,0.47,29723.502143897935,1590177.2555474478,3698.470008324201,3698.470008324201,uncapped_internal_model,,10222.744452552026,5.626166457100723
2035,211479.69723912212,1570620.3027608776,4174.610699250789,12523.832097752369,452000000.0,0.17047188029869548,2.2263075576163827,46134.65227191835,0.47,28220.993077738796,1570620.3027608776,4174.610699250789,4174.610699250789,uncapped_internal_model,,29779.69723912212,16.389486647838257
2040,233032.41625460554,1549067.5837453944,4568.5307023826945,13705.592107148084,450000000.0,0.15616367235313122,2.2134933813738566,48741.18507130406,0.47,26175.686249592818,1549067.5837453944,4568.5307023826945,4568.5307023826945,uncapped_internal_model,,51332.416254605545,28.251192214972786
2045,256910.64132977262,1525189.3586702272,5146.767929568935,15440.303788706806,447500000.0,0.14306763023109903,2.206920875877393,51652.218252785555,0.47,24088.175480044967,1525189.3586702272,5146.767929568935,5146.767929568935,uncapped_internal_model,,75210.64132977262,41.39275802409059
2050,284234.3731317717,1497865.6268682284,5993.509827161247,17980.52948148374,445000000.0,0.1309377165788006,2.203549779079326,54924.579681061536,0.47,22099.197785614917,1497865.6268682284,5993.509827161247,5993.509827161247,uncapped_internal_model,,102534.37313177169,56.43058510279124
