Year,Urban Land,Aggricultural Land,Land Conversion Rate,Urban Land Gap,Expected Population,Agricultural Scarcity Index,Mean Household Size,Income per Capita,Transport Cost per km,Agricultural Rent,Max Feasible Conversion,AMM Consistent Economic Land Conversion Demand,Land Conversion Pressure Factors,Scenario,Empirical Land Take Cap km2 per year,Urban Land Increase since 2025,Urban Land Growth Percent since 2025
2025,181700.0,1600400.0,0.0,0.0,451800000.0,0.19463321669582603,2.3,41650.0,0.47,30000.0,410.0,0.0,0.0,eea_low_410_km2_per_year,410.0,0.0,0.0
2026,181700.0,1600400.0,410.0,4315.952191996505,452080000.0,0.19475383931794832,2.2874999999999996,42066.5,0.47,30000.0,410.0,1438.6507306655014,1438.6507306655014,eea_low_410_km2_per_year,410.0,0.0,0.0
2027,182110.0,1599990.0,410.0,8158.535915611748,452360000.0,0.1944855486681944,2.2765625,42487.165,0.47,30003.718459495354,410.0,2719.511971870583,2719.511971870583,eea_low_410_km2_per_year,410.0,410.0,0.22564667033571073
2028,182520.0,1599580.0,410.0,11974.677402955189,452640000.0,0.1942185503985541,2.2669921874999996,42912.516004365716,0.47,29998.422573572923,410.0,3991.5591343183964,3991.5591343183964,eea_low_410_km2_per_year,410.0,820.0,0.45129334067144367
2029,182930.0,1599170.0,410.0,15782.65500417701,452920000.0,0.1939528358860124,2.2586181640625,43342.60947104458,0.47,29985.95505179578,410.0,5260.885001392337,5260.885001392337,eea_low_410_km2_per_year,410.0,1230.0,0.6769400110071544
2030,183340.0,1598760.0,410.0,19594.87106401837,453200000.0,0.19368839658475645,2.251290893554687,43777.50258308165,0.47,29967.789795990833,410.0,6531.623688006123,6531.623688006123,eea_low_410_km2_per_year,410.0,1640.0,0.9025866813428651
2031,183750.0,1598350.0,410.0,23183.515387019055,452960000.0,0.19320342567369353,2.2448795318603514,44217.253258451165,0.47,29945.10566417601,410.0,7727.838462339685,7727.838462339685,eea_low_410_km2_per_year,410.0,2050.0,1.128233351678598
2032,184160.0,1597940.0,410.0,26784.747925496224,452720000.0,0.1927205871360661,2.2392695903778073,44661.92016002796,0.47,29912.00805622299,410.0,8928.249308498742,8928.249308498742,eea_low_410_km2_per_year,410.0,2460.0,1.3538800220143088
2033,184570.0,1597530.0,410.0,30406.037402082846,452480000.0,0.19223986674067586,2.2343608915805815,45111.562705700715,0.47,29870.64540249357,410.0,10135.345800694282,10135.345800694282,eea_low_410_km2_per_year,410.0,2870.0,1.5795266923500195
2034,184980.0,1597120.0,410.0,34054.08396798,452240000.0,0.1917612503824745,2.2300657801330086,45566.241078629086,0.47,29822.736008568998,410.0,11351.36132266,11351.36132266,eea_low_410_km2_per_year,410.0,3280.0,1.8051733626857525
2035,185390.0,1596710.0,410.0,37735.009892858885,452000000.0,0.19128472408116873,2.2263075576163827,46026.01623764702,0.47,29769.654084094902,410.0,12578.336630952961,12578.336630952961,eea_low_410_km2_per_year,410.0,3690.0,2.030820033021463
2036,185800.0,1596300.0,410.0,41373.98326584889,451600000.0,0.1907426946371911,2.2230191129143346,46490.94992781427,0.47,29712.49856581429,410.0,13791.327755282962,13791.327755282962,eea_low_410_km2_per_year,410.0,4100.0,2.256466703357174
2037,186210.0,1595890.0,410.0,45053.62554863733,451200000.0,0.1902029906055872,2.220141723800043,46961.10469111839,0.47,29650.064893031937,410.0,15017.875182879108,15017.875182879108,eea_low_410_km2_per_year,410.0,4510.0,2.482113373692907
2038,186620.0,1595480.0,410.0,48778.84758440472,450800000.0,0.18966559661242227,2.2176240083250374,47436.54387732943,0.47,29583.480382635196,410.0,16259.61586146824,16259.61586146824,eea_low_410_km2_per_year,410.0,4920.0,2.7077600440286176
2039,187030.0,1595070.0,410.0,52554.221551390365,450400000.0,0.18913049741852214,2.215421007284408,47917.33165500961,0.47,29513.646414198356,410.0,17518.073850463454,17518.073850463454,eea_low_410_km2_per_year,410.0,5330.0,2.9334067143643283
2040,187440.0,1594660.0,410.0,56384.03052180944,450000000.0,0.18859767791799842,2.2134933813738566,48403.53302268027,0.47,29441.28362159955,410.0,18794.676840603148,18794.676840603148,eea_low_410_km2_per_year,410.0,5740.0,3.1590533847000613
