Year,Historical Urban Land,Baseline Urban Land,Baseline Error Percent,Calibrated Urban Land,Calibrated Error Percent,Calibrated Absolute Error Percent
2000,150000.0,160018.0,6.6786666666666665,154611.4083296881,3.0742722197920664,3.0742722197920664
2001,151600.0,160018.0,5.552770448548813,154611.4083296881,1.9864171040158969,1.9864171040158969
2002,153200.0,160018.0,4.450391644908616,154856.1423034649,1.0810328351598597,1.0810328351598597
2003,154800.0,160018.0,3.3708010335917313,155315.28054895197,0.33286857167439726,0.33286857167439726
2004,156400.0,160018.0,2.313299232736573,155974.55016430916,-0.27202674916294395,0.27202674916294395
2005,158000.0,160018.0,1.2772151898734179,156822.81251196328,-0.7450553721751424,0.7450553721751424
2006,159600.0,160018.0,0.2619047619047619,157850.19555616463,-1.0963686991449675,1.0963686991449675
2007,161200.0,160018.0,-0.7332506203473945,159030.83791437876,-1.3456340481521336,1.3456340481521336
2008,162800.0,160018.0,-1.708845208845209,160356.5770443094,-1.5008740514069976,1.5008740514069976
2009,164400.0,160018.0,-2.665450121654501,161819.94071035538,-1.569379129954147,1.569379129954147
2010,166000.0,160018.0,-3.603614457831325,163414.1309886417,-1.5577524164809036,1.5577524164809036
2011,167400.0,160018.0,-4.4097968936678615,165133.01574531288,-1.354231932310109,1.354231932310109
2012,168800.0,160018.0,-5.20260663507109,166971.11782730973,-1.0834610027785947,1.0834610027785947
2013,170200.0,160018.0,-5.982373678025852,168923.5993946772,-0.7499416012472345,0.7499416012472345
2014,171600.0,160018.0,-6.74941724941725,170986.24150639633,-0.35766811981566016,0.35766811981566016
2015,173000.0,160018.0,-7.5040462427745664,173155.42000284817,0.08983815193535946,0.08983815193535946
2016,174000.0,160018.0,-8.035632183908046,175428.07894117344,0.820735023662899,0.820735023662899
2017,175000.0,160018.0,-8.561142857142858,177776.59894684784,1.586627969627335,1.586627969627335
2018,176000.0,160018.0,-9.080681818181818,180199.37396027334,2.386007931973489,2.386007931973489
2019,177000.0,160057.23680735932,-9.572182594712245,182695.25589486142,3.2176586976618173,3.2176586976618173
2020,178000.0,160340.20951791847,-9.921230607910973,185263.51303724854,4.080625301825024,4.080625301825024
2021,178740.0,160848.3340896129,-10.009883579717519,187903.79717204408,5.126886635360906,5.126886635360906
2022,179480.0,161587.18429149882,-9.969253236294394,190632.47706287698,6.213771485890894,6.213771485890894
2023,180220.0,162539.921433747,-9.810275533377546,193449.63331490447,7.340824167630933,7.340824167630933
2024,180960.0,163691.43384213425,-9.542753181844466,196355.682596307,8.507782159762924,8.507782159762924
2025,181700.0,165028.24316210434,-9.17543029053146,199351.36923383165,9.714567547513289,9.714567547513289
